	0
471	10043.333333333332
472	851.6639007724301
473	16169.0
474	1785.6809523809522
475	2820.0
476	1542.0
477	16016.996904761903
478	571.0666666666667
479	19260.4
480	32750.333333333336
481	53482.0
482	3192.114718614718
483	2444.3932995925647
484	16784.666666666668
485	22913.333333333332
486	11192.933333333334
487	778.1333333333334
488	637.9
489	10837.5
490	9150.0
491	9488.920000000002
492	2317.8910443722943
493	568.2
494	4420.0
495	727.0
496	4729.9
497	1719.0
498	3141.132901259388
499	12866.666666666666
500	664.6167748917749
501	7272.75
502	1448.0
503	11141.0
504	8705.4
505	1150.7958485454387
506	2074.9
507	2612.5
508	12713.9
509	12861.149358974359
510	12650.928571428569
511	1843.1
512	1346.8714285714286
513	2321.65
514	16874.333333333332
515	5104.2
516	2175.69375
517	681.7202489844196
518	2029.2433588863464
519	1749.2
520	18117.7
521	6481.1
522	23096.9
523	2693.7666666666664
524	10719.8
525	632.004761904762
526	1228.0786301353955
527	6883.666666666666
528	679.3166666666667
529	2450.0
530	4794.59
531	14118.6
532	3725.325
533	1861.560606060606
534	1404.1527619896442
535	552.0466666666667
536	12343.666666666668
537	926.9
538	4339.3
539	2682.971666666667
540	2024.0
541	286.0666666666667
542	5332.197929664834
543	2744.8
544	2018.08
545	666.1256458929164
546	14289.9
547	14470.4
548	10720.0
549	34777.0
550	7094.780000000001
551	2784.9
552	5048.8
553	1640.1270146520146
554	6700.0
555	6209.580201465202
556	10241.816666666666
557	3058.0333333333338
558	17252.318571428572
559	511.8
560	9391.583333333332
561	1058.4835714285714
562	8954.7
563	10475.0
564	413.83333333333337
565	1911.7201207106177
566	36235.0
567	3107.8153726390565
568	5061.0
569	17593.0
570	1067.21071012321
571	5600.0
572	4669.9
573	4429.23297776357
574	170.0
575	3410.0
576	7054.512127415472
577	3965.0
578	5142.125
579	1969.219540801476
580	3119.8
581	1422.2557692307691
582	1348.3333333333335
583	1790.9123377111096
584	1497.74
585	1035.5
586	5837.833333333334
587	1291.6666666666665
588	2526.6666666666665
589	21818.8
590	2918.1944444444443
591	11150.0
592	964.4133333333332
593	2676.9485606060603
594	14999.675
595	14091.991666666669
596	2637.5
597	14315.25
598	2050.0
599	2157.471666666667
600	14719.8
601	1993.2041666666664
602	1803.438279323016
603	120.0
604	1090.6624368686869
605	6061.333333333334
606	2139.0
607	1136.6
608	1020.0
609	10896.460000000001
610	576.15
611	1307.0833333333335
612	4892.266666666666
613	11898.899999999998
614	2262.7
615	3104.8
616	3072.1066666666666
617	1364.3
618	1665.8333333333335
619	12160.633333333333
620	775.7333333333333
621	2140.2426785714288
622	12604.666666666666
623	2211.9566666666665
624	3451.407142857143
625	2314.0
626	12307.7
627	8063.156919191919
628	4522.866666666667
629	3260.322222222222
630	2859.4
631	285.9
632	1054.58
633	6824.1
634	216.02191393049475
635	4419.867084859585
636	12891.6
637	652.0
638	929.9
639	23959.7
640	31070.0
641	1345.6666666666665
642	850.0687709595971
643	2349.7
644	8843.283333333335
645	2286.643333333333
646	6045.544372294373
647	3402.1416666666664
648	9946.6
649	1609.9
650	8868.263333333334
651	519.9
652	940.9839285714286
653	6068.9
654	58779.1
655	1747.25
656	10750.999999999998
657	695.1600000000001
658	7496.5666666666675
659	1353.0
660	3451.3
661	1853.8333333333333
662	4361.833333333333
663	4942.058333333333
664	7445.049999999998
665	2798.7833333333338
666	12348.6
667	1995.75
668	969.9
669	4354.7
670	3867.7574466323154
671	1065.0
672	4032.0
673	4682.021001221001
674	2716.022531328321
675	888.1392857142857
676	2663.15
677	1000.2333333333333
678	1017.7375
679	7380.9
680	6864.083333333334
681	656.4
682	8705.378571428571
683	21830.0
684	3633.352380952381
685	893.1
686	636.2212183105648
687	4010.3823580586077
688	22387.2
689	1285.9666666666667
690	1092.9052380952382
691	1232.7697868408627
692	1731.4690476190474
693	4494.466666666666
694	4579.5
695	7564.0
696	7021.166666666667
697	4225.3
698	2261.4536147186145
699	2554.419393939394
700	2749.0
701	3200.0
702	2193.0
703	3249.108333333333
704	7587.9
705	33068.0
706	11823.75
707	4580.40203741959
708	3509.7
709	3107.509285714286
710	3642.5
711	1708.4851928943394
712	1200.5416666666667
713	2554.0
714	730.4047619047619
715	8181.31376984127
716	6381.333333333334
717	2073.225
718	19095.0
